disease_id,disease_name,gene_entrez_ids,splits
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific","855554,856069,855053,850958,854545,853523,855060,854042,851503,855092,856117,850492,852541,852031,852033,854087,850513,851542,850523,852074,856178,852614,853650,854675,855704,851613,852638,855208,856750,854706,852663,856769,852171,851670,854755,851172,852710,853748,851701,854775,854280,856329,851724,856845,850701,856847,855828,855323,854307,852260,851747,856358,853803,851247,854835,852278,854333,853828,854343,852809,851788,856397,856916,853334,851799,851802,855899,853854,853356,852848,851840,854404,850822,852871,851846,853390,853904,852377,855970,855975,851384,851905,852935,856016,855505,853974,856030,850406,850928,855035,851452",0
GO:0019904,protein domain specific binding,"854433,852834,851076,853259,855470,851150,856437,850325,856856,853340",0
GO:0004521,endoribonuclease activity,"851200,854152,856459,855439,856478,850847,855329,851873,852646,852263,850983,855081,855980,854832,855731,852918,854334,854337,853954,851267,853708,854221,855500,852560,9164884,856022,854883,855652,851939,855274,850795,855280,852465,854138",0
GO:1901505,carbohydrate derivative transmembrane transporter activity,"850938,855747,855078,852647,856391,856714,851211,852238,856783,853207,855641,852250,854364,854237,850462,856121",0
GO:0008092,cytoskeletal protein binding,"856195,851204,854662,855048,856715,850956,854414,855822,851727,854289,853010,855569,856724,853909,852246,854549,855574,852249,855834,856090,851996,850328,855584,856736,854819,852772,854439,854443,850450,851372,850734,851376,852787,853814,852535,854200,854456,852415,850367,854085,853958,856263,851782,851148,854223,851919,854353,850897,852819,855765,851029,853719,856409,854879,851707,856802,853862,854504,852969,852971,851051,850676,850423,854777,853114,851579,851708,856318",0
GO:0015215,nucleotide transmembrane transporter activity,"851329,855078,856391,855880,856712,852491,851246,854672,856246,855641,852250,854811,856121",0
GO:0032266,phosphatidylinositol-3-phosphate binding,"854026,854539,853261,853902,850574,852753,853138,852499,850577,856600,854300,851869,852773,853416,852660,855988,855479,856505,855739,853953,851906,852035,856004,851908,852428,851789,852563,854867,853589,851923,854235,855016,851445",0
GO:0003697,single-stranded DNA binding,"854656,851975,850696,851470,855184,856083,850963,852501,856085,854941,852258,855203,855459,850980,854825,855466,850346,852013,855471,853936,851890,853301,855482,853821,856130,851266,851013,851655,853064,853840,854480,852822,855642,850395,851163,854878,856926,855264,855649,852707,852580,853609,850793,854123,855404,851306,856305,851699,850934,853752,850430,856831",0
GO:0046872,metal ion binding,"856450,856452,854023,850701,853390,855054,853778,851862,855968,855971,855462,851249,854196,852789,852406,852791,853560,853047,855993,855287,856128,856775,850632,855241,852688,851665,850642,852949,852312,853721,855641,850651,851551,856547,852325,852709,852710,852842,855914,851437,852207,854385,851955,856180,852598,853366,856059",0
GO:0016891,"endoribonuclease activity, producing 5'-phosphomonoesters","851200,856459,855439,850847,851873,852646,852263,854832,852918,854334,853954,853708,855500,852560,9164884,854883,855652,855274,855280,852465",0
GO:0140101,"catalytic activity, acting on a tRNA","852994,854024,856077,856596,854051,854056,855081,854060,851529,852560,856145,9164884,853081,850522,856160,855651,853097,855663,852606,851587,856196,853640,851607,851098,851618,851117,851121,853181,855749,854732,850643,852198,855782,852202,851698,852223,851200,851743,852257,852263,855338,852270,854832,850749,854339,851267,853317,856392,853841,856402,856915,856412,856413,852832,854883,850795,851307,854895,851326,852353,855943,856459,854414,855439,856467,851861,853930,854448,855474,852918,856000,852418,856007,855500,854994,850388,856022,851942,853995,853996,852465,854513,851446,852986",0
GO:1901682,sulfur compound transmembrane transporter activity,"851713,850438,850665,853739,852988,856013,855854,850671,850781,855729,852946,856121,850938,852956,856349",0
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors","851974,855691,856589,854287,853777,855057,852883,855447,850327,851351,854682,851354,852636,851481,854303,853792,855845,854950,850342,850469,851239,851493,855723,851376,853810,853172,854068,855349,853559,855480,855990,854714,856504,850871,851380,856638,856639,851386,855107,850759,855368,853839,854095,854736,852690,851539,852568,855385,852446,852450,855266,853604,851171,850790,852456,854888,853994,851433,852844,856814,852720,854900,853878,853624,851705,854651,851069,854014",0
GO:0016791,phosphatase activity,"855042,850441,853023,856625,851513,855615,852544,855618,853574,854089,854090,855630,852579,851558,855674,856187,852092,853117,853122,851075,853644,852114,855188,850581,851092,850585,855201,853668,854693,851621,852648,855218,856759,851646,851647,851153,856791,850650,854758,856807,854257,856823,852224,854276,854277,855303,851217,855320,851224,854299,854815,853286,856870,856873,856882,854326,853307,854844,855873,853833,856393,852310,854872,855392,851299,854383,855923,856439,856440,856442,851339,856475,853917,854946,851362,852389,852390,853927,851368,851878,851881,856500,854457,850373,852422,852423,855499,854992,851421",0
GO:0016866,intramolecular transferase activity,"855424,850499,853732,851525,854088,853705,856652,856173,852817,854417,855889,856470,853079,850550,855321,850872,855131",0
GO:0001047,core promoter binding,"851488,856891,852996,852006,856743,856904,854345,851115,853428,854964,855706,856059,852860",0
GO:0001091,RNA polymerase II general transcription initiation factor binding,"851488,855139,850760,851115,853840,855505,853936,856437,854106,851802",0
GO:0005342,organic acid transmembrane transporter activity,"851713,854530,850438,852360,852361,856855,853912,852121,854297,854811,855451,855453,856349,853663,850333,855969,851439,851616,853158,854061,852401,853558,853175,855863,850489,851063,852800,850368,856132,855622,856646,855113,853710,853457,852946,850645,850394,852956,852444,853739,855660,856171,850671,853104,853617,852594,855282,852596,856049,850290,856567,850678,851317,851954,854139,854397",0
GO:0042393,histone binding,"852096,853900,850445,852494,853264,853011,854933,854680,855965,851488,853922,856106,856490,850347,851115,853167,856752,855475,852665,854465,853186,856129,856777,855626,856654,853327,852432,856143,852050,856911,850638,854869,854230,855515,851163,851803,852457,853865,855920,853364,853877",0
GO:0019205,nucleobase-containing compound kinase activity,"855264,852065,853569,855746,850624,851812,853798,853358,855471,853520,853844,856917,851388",0
GO:0016741,"transferase activity, transferring one-carbon groups","854024,856077,853536,856614,856616,854057,854060,850991,852017,852019,852538,853061,852045,855632,852561,852050,852564,852565,853593,851548,852574,852076,855149,855662,855663,852080,855664,855709,854696,854186,854711,851656,852683,854746,854241,855782,850664,851698,856825,852741,851718,850702,853271,856346,850715,851743,852257,852270,855855,850747,853311,850752,851265,851779,853317,855893,856922,853851,852318,852832,852322,854376,853357,851326,851327,850304,852353,851844,855946,850828,854414,854930,856467,852884,855965,853930,850869,853943,856509,850883,856519,852431,854994,852438,855003,855008,853995,853996,850414,851446,852472,852474",0
GO:0019789,SUMO transferase activity,"850693,851110,856695,851495,854985,851882,854123,856760,852018,854327,856536,851099,851453",0
GO:0043130,ubiquitin binding,"853120,852740,852233,855306,853772,852497,856593,850577,852376,856862,852768,853667,852394,850349,854191,854066,852276,856886,852536,856376,855739,856508,854206,851135,851392,856387,851140,852939,851918,852432,851410,853332,854876,856674,851431,850539,854765,851960",0
GO:0008175,tRNA methyltransferase activity,"852353,854024,856077,854414,856467,851743,852257,853930,854060,853317,854994,852832,855782,853995,853996,855663,851698,851446,851326",0
GO:0015171,amino acid transmembrane transporter activity,"854530,850438,852360,852361,856855,853912,854297,852121,855451,855453,856349,850333,851616,854061,850489,856132,855622,856646,855113,853710,853457,852946,852444,856171,850671,853104,851439,850290,851954,852596,851317,854139",0
GO:0031369,translation initiation factor binding,"852833,856154,855302,852042,856746,852013,853301,855477,856247,851320,855898,851196,855357,855838,856351",1
GO:0019901,protein kinase binding,"855554,851363,850692,851561,856912,854387,852406,855543,853371,856861",1
GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","852514,853510,852872,852335,852464,855441,853653,856664,852314,855518",1
GO:0060590,ATPase regulator activity,"852866,852230,854407,850694,850695,855440,851347,851988,850455,855196,853789,855968,856865,854691,852397,854319,854192,855998,850878,855495,851800,850779,855388,856926,855647,850530,855661,854126,855790,852467",1
GO:0017137,Rab GTPase binding,"852676,851653,852618,852715,852428,852016,852753,854898,852083,853076,856144,853942,851482,854552,851833,855258",1
GO:0051010,microtubule plus-end binding,"856736,852535,853958,851782,854443,850956,851919,853010,852819,853909,853814,853719,851579",1
GO:0070491,repressing transcription factor binding,"855554,854307,851559,850760,852714,851788,854193,853523,855060,855092,852694,855926,851903,852860,851613,855743",1
GO:0004519,endonuclease activity,"851200,852225,854152,850826,856459,855439,856085,851994,856478,850847,855329,851873,852646,852263,850983,855081,853930,852395,855980,856364,851371,854832,852529,853937,855731,852918,853174,854198,856764,854334,854590,854337,853954,854595,854596,854597,851267,853708,854221,855500,852560,9164884,856022,852700,854878,855264,853858,854883,855652,851939,853222,855274,850795,855280,852465,853747,856569,854138",1
GO:0140030,modification-dependent protein binding,"853900,854680,855965,856607,851488,856490,850347,851115,853167,854465,856777,855626,852939,856143,856911,854230,853865,855920,853877",1
GO:0051219,phosphoprotein binding,"852640,851136,851676,854020,855013,852582,855492,850539,854290,856924,852607",1
GO:0004222,metalloendopeptidase activity,"851105,856419,852041,853962,850860,853581,851310,856240,855317,856536,853724,850301",1
GO:0035251,UDP-glucosyltransferase activity,"853304,855874,850886,852423,855303,850569,853932,851055,854514,854872,850962,852920",1
GO:0004659,prenyltransferase activity,"855778,856036,851334,854552,851468,853421,852722,856306,856597,855127,853272,853849,852287",1
GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups","854022,851334,851468,852113,856465,850322,856597,850838,851605,854552,853272,852124,855465,853421,854448,850877,853951,852288,852287,853058,851010,852551,854856,852559,855887,855127,853849,853594,855008,855778,856036,850666,852722,856306,856182,851705,851322,855292",1
GO:0008409,5'-3' exonuclease activity,"854432,855168,854213,851976,853930,852461,851856,853747,854198,852702",1
GO:0016278,lysine N-methyltransferase activity,"851844,850702,852884,853271,856346,855965,850991,856509,851265,851779,856519,852561,852050,855893,853593,854746,853851,852574,852318,852080,852472",1
